ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price,BusStop,Distance,EmbeddedMap
10,Abuzz Oxfordcaps,"85/1, First Cross, Bannerghatta Main Rd, Hulimavu, Bengaluru, Karnataka 560076",560076,13.92747279,77.67487344,average,4.1,1,0,0,0,6000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15189826.350982808!2d67.20007196352338!3d21.646201454050942!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae152d96b67b93%3A0x1a29d0fcf98fdb12!2sAbuzz%20Oxfordcaps%20Bannerghatta%2C%20Near%20Christ%20University!5e0!3m2!1sen!2sin!4v1683005667171!5m2!1sen!2sin
11,Sudarshan Luxury Living - Hulimavu,"arch, no 9 2nd cross thimmareddy layout, Bannerghatta Main Rd, opp. Hulimavu, opp. christ university, Bengaluru, Karnataka 560076",560062,12.88317941,77.59483865,average,3.7,1,1,0,1,10500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3889.420085913137!2d77.59192317494184!3d12.880687387426345!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae158a69ae65c9%3A0x53edc1ee17111988!2sSudarshan%20Luxury%20Living%20-%20Hulimavu!5e0!3m2!1sen!2sin!4v1683005691652!5m2!1sen!2sin
12,Shivrang PG For Gents,"37/40, 3rd Main Road, 3rd Cross Rd, Srinidhi Layout, 8th Phase, J. P. Nagar, Bengaluru, Karnataka 560062",560078,12.88378585,77.57231974,average,4.2,1,0,1,1,9000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3889.389519898647!2d77.56961607494192!3d12.88265628742462!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae1551eac19091%3A0x257d6f9e12b27a03!2sShivrang%20PG%20For%20Gents!5e0!3m2!1sen!2sin!4v1683005721881!5m2!1sen!2sin
13,New Sri Vaishnavi Gents Pg,"metro station, ##2052/28-29e, jothi layout, opp. to yelchanahalli, Yelachenahalli, J. P. Nagar, Bengaluru, Karnataka 560078",560078,12.89687983,77.57111811,average,3.7,1,0,1,0,8500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3889.188180934733!2d77.56843227494207!3d12.895618087412801!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15da8d16aa6d%3A0x7ec6204a2d33927d!2sNew%20Sri%20Vaishnavi%20Gents%20Pg!5e0!3m2!1sen!2sin!4v1683005746426!5m2!1sen!2sin
14,zolo icarus,"17, Beereshwara Nagar, Chunchgatta, Phase 7, J. P. Nagar, Bengaluru, Karnataka 560078",560085,12.88908104,77.57315916,average,4,1,1,1,1,12000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7778.419180731632!2d77.57719079107397!3d12.894240399656056!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae158c96ad23f3%3A0x213d8fca971418e7!2sZolo%20Icarus%20Co-Living%20%7C%20Redefining%20PG!5e0!3m2!1sen!2sin!4v1683005775053!5m2!1sen!2sin
15,"Amma Ladies PG, Water tank road","No.3006, Shobha Nilayam, VBN Co Operative Society Layout, Banashankari 3rd Stage",560078,12.93188678,77.54633059,average,4,1,1,1,1,12000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d62227.35425949366!2d77.5411407885207!3d12.894237127144693!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15b990c63583%3A0xcd868002aca43bea!2sVAAYU%20HOSTELS%20FOR%20GIRLS!5e0!3m2!1sen!2sin!4v1683005826616!5m2!1sen!2sin
17,Shree Nideshwara Ladies Pg,"No.04 23rd Main, 1st Cross Marenhalli, Jp Nagar 2nd Phase, Bangalore - 560078 (Near Raghavendra Swamy Mata)",560078,12.9161871,77.58639781,average,4.5,1,0,1,0,8000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3888.635485060978!2d77.5436483749427!3d12.931133887380494!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae3f9f4b153eb5%3A0xade1bfdc76c9160b!2sAmma%20Ladies%20PG%2C%20Water%20tank%20road!5e0!3m2!1sen!2sin!4v1683005853893!5m2!1sen!2sin
18,Sri Balaji Luxurious Ladies Pg,"No 26, 22nd Main Road, Jp Nagar 2nd Phase, Bangalore - 560078 (Behind Marenahalli Kala Bhawan,Near Raghavendra Swamy Matt)",560076,12.91416,77.5857619,good,4.9,1,0,1,1,9000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3888.8725414711625!2d77.58396497494243!3d12.915912587394333!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae156b1f8b6739%3A0x9919e48376bf21b0!2sShree%20Nideshwara%20Luxurious%20Ladies%20PG!5e0!3m2!1sen!2sin!4v1683005876998!5m2!1sen!2sin
19,SS LUXURY FOR GENTS AND LADIES PG,"No 58, 1st Stage, 1st Cross, Govinda Reddy Layout, Arkere Micolayout, bangalore - 560076 (Near Ganesga Temple)",560076,12.89152465,77.5940521,average,3.9,1,0,1,0,8000,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31109.627374002655!2d77.54730607431644!3d12.926773500000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae15e1a59e0751%3A0x2524f9daf0e65847!2sSri%20Balaji%20luxurious%20ladies%20pg%20j.p%20nagar!5e0!3m2!1sen!2sin!4v1683005915339!5m2!1sen!2sin
20,Ss Comforts Gents Pg,"No 33/111, Eastern Portion, 7th Cross, Bilekahalli, Bangalore - 560076 (Opp to Honda Show Room)",560011,12.90145844,77.6011616,good,4.9,1,1,1,1,8500,"Jaraganahalli House Building Co-Op-Society Layout,J.H.B.C.S.COLONY,IN FRONT OF PARK VIEW DEPARTMENTAL STORES",0.07,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3889.25306177961!2d77.59137507494198!3d12.891442587416583!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae154056342da7%3A0xc7dfa73b038309b5!2sSs%20luxury%20pg%20for%20gents!5e0!3m2!1sen!2sin!4v1683006151195!5m2!1sen!2sin
