,ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price
13,13,New Sri Vaishnavi Gents Pg,"metro station, ##2052/28-29e, jothi layout, opp. to yelchanahalli, Yelachenahalli, J. P. Nagar, Bengaluru, Karnataka 560078",560078.0,12.89687983,77.57111811,average,3.7,1.0,1.0,1.0,1.0,5000
14,14,zolo icarus,"17, Beereshwara Nagar, Chunchgatta, Phase 7, J. P. Nagar, Bengaluru, Karnataka 560078",560085.0,12.88908104,77.57315916,average,4.0,1.0,1.0,1.0,1.0,10000
15,15,"Amma Ladies PG, Water tank road","No.3006, Shobha Nilayam, VBN Co Operative Society Layout, Banashankari 3rd Stage",560078.0,12.93188678,77.54633059,average,4.0,1.0,1.0,1.0,1.0,10000
16,17,Shree Nideshwara Ladies Pg,"No.04 23rd Main, 1st Cross Marenhalli, Jp Nagar 2nd Phase, Bangalore - 560078 (Near Raghavendra Swamy Mata)",560078.0,12.9161871,77.58639781,average,4.5,1.0,1.0,1.0,1.0,5000
17,18,Sri Balaji Luxurious Ladies Pg,"No 26, 22nd Main Road, Jp Nagar 2nd Phase, Bangalore - 560078 (Behind Marenahalli Kala Bhawan,Near Raghavendra Swamy Matt)",560076.0,12.91416,77.5857619,good,4.9,1.0,1.0,1.0,1.0,5000
18,19,SS LUXURY FOR GENTS AND LADIES PG,"No 58, 1st Stage, 1st Cross, Govinda Reddy Layout, Arkere Micolayout, bangalore - 560076 (Near Ganesga Temple)",560076.0,12.89152465,77.5940521,average,3.9,1.0,0.0,0.0,1.0,4000
19,20,Ss Comforts Gents Pg,"No 33/111, Eastern Portion, 7th Cross, Bilekahalli, Bangalore - 560076 (Opp to Honda Show Room)",560011.0,12.90145844,77.6011616,good,4.9,1.0,1.0,1.0,1.0,6000
20,21,Fourth Pg Accommodation,"No.400, 30th Cross, 8th B Main Road, Jayanagar 4th Block, Bangalore - 560011 (Above Sukh Sagar Hotel)",560004.0,12.92898045,77.58266927,average,3.9,1.0,1.0,1.0,1.0,7000
21,23,My Home Pg For Men,"No.31/50, Netaji Road, Tata Silk Farm Road, T.R Nagar, Basavanagudi, Bangalore - 560004 (Near Nagasandra Circle)",560078.0,12.93496039,77.57154149,average,3.8,1.0,1.0,1.0,1.0,5000
22,24,ATITHI BOYS PG,"1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560111.0,12.89653916,77.58294257,average,4.1,1.0,1.0,1.0,1.0,5000
