ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price
30,Yashoda Girls PG,"WH58+H2C, 7th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078,12.98539013,77.53723737,,4.1,,,,,5500
31,Anagha Girls PG,"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",560078,12.91384236,77.5705547,,4.9,,,,,10000
32,Stanza Living Anamur House,"Sudhakar Readdy, 70, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078,12.91216916,77.57115552,,4.2,,,,,6000
33,Paradise PG For Boys & Men,"10, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560070",560078,12.90689259,77.5658607,,3.9,,,,,5600
34,Keerthi sai nest ladies pg,"metro statio, No 46/5 17th A cross 38th main JP nagar phase 6 Near sindhoor convention hall, behind JP nagar, Bengaluru, Karnataka 560078",560078,12.90655104,77.58001781,,4.3,,,,,6500
35,JP Nagar PG,"1, 17th cross, 33rd Main Rd, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",560078,12.90544739,77.58588402,,4.1,,,,,5500
36,Shirdi sai mansion pg,"16th Main Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",560078,12.91398083,77.59412377,,4.2,,,,,4500
37,Skanda Boys PG,"6th Phase, 23 ,1st main road, JP Nagar, Puttenahalli, Bengaluru, Karnataka 560078",560078,12.90270626,77.58241089,,3.9,,,,,5500
38,Flourish Luxury Ladies Pg,"No:8,Behind Essar,65/8/1,Kanakapura Road, JP Nagar 1st Phase, Bengaluru 2nd Cross, Gangadhar Nagar, Opp Sarakki Bus Stop and Metro Piller : 55, Bengaluru, Karnataka 560078",560050,12.91289268,77.57037174,,4.5,,,,,7000
39,Venkateshwara P G,"1061 3rd Cross 7th Main Srinivasnagar, Banashankari 1st Stage, Bengaluru, Karnataka 560050",560070,12.93757084,77.55883037,,5,,,,,6000
40,The Beehive Hostel Luxury mens PG,"2237, 23rd Cross Rd, next to Karnataka Grameena Bank, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",560078,12.92420664,77.57385514,,4.4,,,,,6500
41,myroomie-Erica Girls PG / Hoste,"Erica, Eshwara Nagar, Banashankari Temple Ward, Bengaluru, Karnataka 560078",560070,12.91434748,77.56976917,,4.3,,,,,7000
42,SRI GURURAGHAVENDRA PG for BOYS,"Stage, 2 #7, Subramanya Pura Rd, Kadarenahalli, Banashankari, Bengaluru, Karnataka 560070",560070,12.91484944,77.56247357,,5,,,,,4500
43,Pg ACCOMMODATION for boys,"#5, 3rd and 4th cross Kumarswamy layout 1st stage 70meters from dayananda Sagar Collage, Bengaluru, Karnataka 560070",560085,12.91267428,77.56298855,,4.8,,,,,6000
44,Hoysala P.G. Hostel,"WGJR+9HR, Hoysala P.G. hostel Karnataka, 2nd Phase, [no name], Banashankari, Bengaluru, Karnataka 560085",560070,12.93198058,77.54515334,,4.4,,,,,8000
45,BNMIT Boys Hostel,"WH83+W88, 22nd Main Rd, Anjanaswamy Layout, Padmanabhanagar, Bengaluru, Karnataka 560070",560070,12.91762686,77.55433942,,3,,,,,4500
46,White House Women's Residence,"623/9, 1st B Main Rd, 7th Block West, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",560011,12.93149603,77.57346579,,3.9,,,,,7000
47,Keerthi PG For Ladies,"177/B, 1/1 GF, 22nd Cross, 7th B Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",56011,12.93671315,77.58062621,,4.4,,,,,4500
48,Jayanthi Luxury PG for Girl,"208, 7th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",560070,12.92564699,77.58039685,,4.3,,,,,5000
49,Durga PG & Hostel,"626, 1st Cross Rd, Jayanagar 6th Block, Jayanagar, Bengaluru, Karnataka 560070",560062,12.93074995,77.57189961,,4.4,,,,,6500
50,Rajmahal Pg,"No. 3475 6th Cross, Manjunath Nagar Raghuvanalli, Kanakapura Road",560062,12.88141771,77.54341883,,4,,,,,5000
51,Nandana Organics Pg,"No 1233/1 Surya Prema Appartment, 4th Floor, 1st Cross Manjunatha Nagara,Raghunalli",560062,12.88300103,77.546726,,4.2,,,,,5000
52,SMP Paying Guest,"No.10, Kanakpura Main Road, Raghunalli",560078,12.88572874,77.54696484,,4.1,,,,,5500
53,Atithi Boys Pg,No. 1738(Near Kumaraswamy Layout Bus Stop and Sagar Hospital and Dayananda Sagar College),560078,12.9061572,77.56615273,,4,,,,,4000
54,Flourish Paying Guest For,"No 56-163-08, Gangadhar Nagar, Jp Nagar (Opp Sarakki Bus Stop Metro Pillar No 55)",560111,12.90837578,77.57299769,,4.3,,,,,6000
56,RN Boys Pg,"No 92, 4th Cross, Teachers Colony,Kumaraswamy Layout(Near Dayanand Sagar College)",560078,12.91178178,77.56661076,,4.5,,,,,5000
